"id","name","url","size","type","createdAt","updatedAt","authorId"
"cmejy4pii0001vyhwvm6cjvlb","20.png","/uploads/1755692743718-20.png",578020,"image/png","2025-08-20 12:25:46.794","2025-08-20 12:25:46.794","cmeh5dugk0000vyy07akpu0go"
"cmf3nv1mr0017vyiwh37phc83","90.png","/uploads/1756884823283-90.png",403903,"image/png","2025-09-03 07:33:43.298","2025-09-03 07:33:43.298","cmeh5dugk0000vyy07akpu0go"
"cmf6n9kmq0007vyswdwegrc9v","WhatsApp Image 2025-09-05 at 12.16.08 PM.jpeg","/uploads/1757065218649-whatsapp_image_2025_09_05_at_12.16.08_pm.jpeg",199286,"image/jpeg","2025-09-05 09:40:20.018","2025-09-05 09:40:20.018","cmeh5dugk0000vyy07akpu0go"
"cmf6tulcl0005vy5c90kfvqbo","arg.png","/uploads/1757076277049-arg.png",404548,"image/png","2025-09-05 12:44:38.421","2025-09-05 12:44:38.421","cmeh5dugk0000vyy07akpu0go"
"cmf6ucl1s000fvy5cobr4eotc","oli.png","/uploads/1757077117571-oli.png",359570,"image/png","2025-09-05 12:58:37.841","2025-09-05 12:58:37.841","cmeh5dugk0000vyy07akpu0go"
"cmf6uhbvr000hvy5cs3ur0snj","ser'.png","/uploads/1757077337410-ser_.png",643413,"image/png","2025-09-05 13:02:19.239","2025-09-05 13:02:19.239","cmeh5dugk0000vyy07akpu0go"
"cmf6ulso8000jvy5cy6jvhfgh","hairser'.png","/uploads/1757077545813-hairser_.png",673475,"image/png","2025-09-05 13:05:47.625","2025-09-05 13:05:47.625","cmeh5dugk0000vyy07akpu0go"
"cmf6uqj6f000lvy5ca5t8393x","facem'.png","/uploads/1757077766525-facem_.png",487609,"image/png","2025-09-05 13:09:28.599","2025-09-05 13:09:28.599","cmeh5dugk0000vyy07akpu0go"
"cmfarlzyq0007vylg03qpcmml","1757313844714-moisturizer.PNG","/uploads/1757314380974-1757313844714_moisturizer.png",163638,"image/png","2025-09-08 06:53:02.93","2025-09-08 06:53:02.93","cmeh5dugk0000vyy07akpu0go"
"cmfarpum20009vylgsx5makbx","ser_.png","/uploads/1757314562399-ser_.png",86345,"image/png","2025-09-08 06:56:02.619","2025-09-08 06:56:02.619","cmeh5dugk0000vyy07akpu0go"
"cmfcbyv7m0001vywoi1fx51rg","leave in (1).png","/uploads/1757409031607-leave_in__1_.png",767499,"image/png","2025-09-09 09:10:39.661","2025-09-09 09:10:39.661","cmeh5dugk0000vyy07akpu0go"
"cmfcd7kuf000kvywov6unkjy9","pinks.png","/uploads/1757411125764-pinks.png",1046581,"image/png","2025-09-09 09:45:27.879","2025-09-09 09:45:27.879","cmeh5dugk0000vyy07akpu0go"
"cmfcd7oln000mvywonfgakhh3","greens.png","/uploads/1757411132725-greens.png",1008374,"image/png","2025-09-09 09:45:32.747","2025-09-09 09:45:32.747","cmeh5dugk0000vyy07akpu0go"
"cmfcd7rbe000ovywo2yjewqad","applec.png","/uploads/1757411136186-applec.png",989378,"image/png","2025-09-09 09:45:36.266","2025-09-09 09:45:36.266","cmeh5dugk0000vyy07akpu0go"
"cmfcd7zpx000qvywokoucaopk","pinkc.png","/uploads/1757411145891-pinkc.png",1126566,"image/png","2025-09-09 09:45:47.157","2025-09-09 09:45:47.157","cmeh5dugk0000vyy07akpu0go"
