"id","name","image","brand","category","subcategory","concerns","createdAt","updatedAt","authorId","sizes","featured","description"
"cmei9okb80002vy4kkaeb1hj3","Sedoso Shower Gel","/uploads/1757485353370-caramel.png","Sedoso","Personal","Caramel Toffee","{Moisturizing,Soothing,""Skin Protection""}","2025-08-19 08:13:36.577","2025-09-16 12:58:23.424","cmeh5dugk0000vyy07akpu0go","{250ml,400ml,500ml,750ml,1300ml,5L}",False,"SEDOSO CARAMEL TOFFEE SHOWER GEL Is enriched with Organic Baobab Oil , which is a rich source of Omega Fatty Acids that fight skin inflammation. Its pure and fresh caramel fragrance awakens the youthful energy. It is enriched with Vitamin E and Cape Chestnut Oil which are natural Uv protection and are high in antioxidants healing dry and damaged skin daily. It rejuvenates your skin through this rich cotton silky formula, giving sweet and tender touch."
"cmei9okbw0006vy4kzaz93a3i","Sedoso Shower Gel","/uploads/1757485344311-premium_male.png","Sedoso","Personal","Premium Male","{Moisturizing,Soothing,""Skin Protection""}","2025-08-19 08:13:36.577","2025-09-16 12:52:47.43","cmeh5dugk0000vyy07akpu0go","{1300ml}",False,"SEDOSO ABSOLUTE MAN SHOWER GEL Is enriched with Organic Baobab Oil, which is a rich source of Omega Fatty Acids that fight skin inflammation. It is enriched with Vitamin E and Cape Chestnut Oil which are natural Uv protection and are high in antioxidants healing dry and damaged skin daily. It rejuvenates your skin through this rich cotton silky formula, giving sweet and tender touch."
"cmei9okbw0008vy4kylr1rlpr","Sedoso Shower Gel","/uploads/1757485348329-diamond_rose.png","Sedoso","Personal","Diamond Rose","{Moisturizing,Soothing,""Skin Protection""}","2025-08-19 08:13:36.577","2025-09-16 12:56:30.381","cmeh5dugk0000vyy07akpu0go","{500ml,750ml,1300ml}",True,"SEDOSO DIAMOND ROSE SHOWER GEL Is enriched with Rose Oil and Rose Hip Oil that rejuvenates your skin for a youthful glow."
"cmei9okbw0009vy4kc5egphy6","Sedoso Massage Oil","/uploads/1758698774543-75.webp","Sedoso","Personal","Eucalyptus","{Moisturizing,Soothing,""Skin Protection""}","2025-08-19 08:13:36.577","2025-09-24 08:41:42.817","cmeh5dugk0000vyy07akpu0go","{300ml,500ml,1L}",False,"Experience the soothing and refreshing benefits of eucalyptus with our massage oil. Made with all-natural ingredients, this oil promotes relaxation and relieves muscle tension. Perfect for use after a workout or long day. Let the power of eucalyptus revitalize your body and mind."
"cmei9okbw000avy4kc0g8jkk7","Sedoso Massage Oil","/uploads/1758698775976-76.webp","Sedoso","Personal","Lavender","{Moisturizing,Soothing,""Skin Protection""}","2025-08-19 08:13:36.577","2025-09-24 08:41:03.205","cmeh5dugk0000vyy07akpu0go","{300ml,500ml,1L}",False,"Indulge in relaxation with our Lavender Massage Oil. Made with 100% natural ingredients, this oil is perfect for soothing tired muscles and promoting deep relaxation. With the calming scent of lavender, you’ll feel pampered and rejuvenated after every use."
"cmei9okbw000bvy4kjk7yu5xl","Sedoso Hand and Body Lotion","/uploads/1758698616690-29.webp","Sedoso","Personal","Absolute Man","{Moisturizing,""Skin Protection"",Soothing}","2025-08-19 08:13:36.577","2025-09-24 08:37:42.78","cmeh5dugk0000vyy07akpu0go","{120ml,200ml,400ml}",False,"Sedoso For Men Hand and Body Lotion is infused with essential oils, vitamin E and menthol to provide moisture and soothes damaged skin for 24 hours, leaving your skin nicely fragranced and feeling soft just after 1 application."
"cmei9okbx000cvy4k1r8uh0s5","Sedoso Hand and Body Lotion","/uploads/1758698620060-36.webp","Sedoso","Personal","Cocoa Butter","{Moisturization,""Skin Elasticity"",Soothing,Antioxidants,""Skin Texture""}","2025-08-19 08:13:36.577","2025-09-24 08:36:34.508","cmeh5dugk0000vyy07akpu0go","{120ml,200ml,400ml}",False,"Sedoso Cocoa Butter Hand and Body Lotion is infused with essential oils, vitamin E and pure cocoa butter to provide moisture and soothes damaged skin for 24 hours, leaving your skin nicely fragranced and feeling soft just after 1 application."
"cmei9okbx000dvy4kguxr1snh","Sedoso Hand and Body Lotion","/uploads/1758698618111-37.webp","Sedoso","Personal","Aloe Vera","{Moisturizing,Soothing,Antioxidants,""Skin Repair"",Non-Comedogenic}","2025-08-19 08:13:36.577","2025-09-24 08:37:15.003","cmeh5dugk0000vyy07akpu0go","{120ml,200ml,400ml}",False,"Sedoso Aloe Vera Hand and Body Lotion is infused with essential oils, vitamin E and pure aloe oil to provide moisture and soothes damaged skin for 24 hours, leaving your skin nicely fragranced and feeling soft just after 1 application."
"cmei9okbx000evy4kw2x7sq8n","Sedoso Petroleum Jelly","/uploads/1758703735451-41.webp","Sedoso","Personal","Pure","{""Dry Skin"",Hypoallergenic,""Skin Repair""}","2025-08-19 08:13:36.577","2025-09-24 08:49:43.876","cmeh5dugk0000vyy07akpu0go","{25g,50g,100g,250g}",False,"Sedoso PETROLEUM JELLY is an Occlusive moisturizer for a soft, glowing skin. It has vitamin E for brighter, younger-looking skin and also relieves dry, chapped skin."
"cmei9okbx000fvy4kvq569hhk","Sedoso Petroleum Jelly","/uploads/1758700418839-39.webp","Sedoso","Personal","Baby Jelly","{""Gentle Care"",Hypoallergenic,""Diaper Rash"",""Sensitive Skin""}","2025-08-19 08:13:36.577","2025-09-24 08:47:33.406","cmeh5dugk0000vyy07akpu0go","{25g,50g,100g,250g}",False,"Sedoso PETROLEUM JELLY is an Occlusive moisturizer for a soft, glowing skin. It has vitamin E for brighter, younger-looking skin and also relieves dry, chapped skin."
